topic,grade,gt_pages,kind,number,start_page,end_page,source_file
Wonders of the Living World,6,20.0,chapter,1,1,21,G6.pdf
Characteristics of Organisms,6,7.0,section,1.1,6,13,G6.pdf
Differences between Plants and Animals,6,8.0,section,1.2,13,21,G6.pdf
Things Around Us,6,14.0,chapter,2,21,35,G6.pdf
Matter and Energy,6,1.0,section,2.1,23,24,G6.pdf
States of Matter,6,5.0,section,2.2,24,29,G6.pdf
Specific Properties of Solid Matter,6,6.0,section,2.3,29,35,G6.pdf
Water as a Natural Resource,6,14.0,chapter,3,35,49,G6.pdf
States of Water,6,2.0,section,3.1,36,38,G6.pdf
Types of Water based on Availability,6,2.0,section,3.2,38,40,G6.pdf
Types of Water based on Salinity,6,2.0,section,3.3,40,42,G6.pdf
Importance of Water,6,2.0,section,3.4,42,44,G6.pdf
"Water, a Limited Resource",6,5.0,section,3.5,44,49,G6.pdf
Energy in Day to Day Life,6,18.0,chapter,4,49,67,G6.pdf
Energy Sources and Their Applications,6,14.0,section,4.1,53,67,G6.pdf
Light and Vision,6,20.0,chapter,5,67,87,G6.pdf
How can we see ?,6,2.0,section,5.1,67,69,G6.pdf
Sources of Light,6,1.0,section,5.2,69,70,G6.pdf
Transmission of Light through Objects,6,4.0,section,5.3,70,74,G6.pdf
Light Rays and Light Beams,6,4.0,section,5.4,74,78,G6.pdf
Applications of Light,6,9.0,section,5.5,78,87,G6.pdf
Sound and Hearing,6,12.0,chapter,6,87,99,G6.pdf
Producing Sounds,6,1.0,section,6.1,88,89,G6.pdf
Hearing of Sounds,6,2.0,section,6.2,89,91,G6.pdf
Diversity of Sounds,6,1.0,section,6.3,91,92,G6.pdf
Music and Noise,6,1.0,section,6.4,92,93,G6.pdf
Creating Equipment to Produce Sound,6,6.0,section,6.5,93,99,G6.pdf
Magnets,6,11.0,chapter,7,99,110,G6.pdf
Effects of Magnets,6,0.5,section,7.1,100,101,G6.pdf
Different Type of Magnets,6,0.5,section,7.2,100,101,G6.pdf
Magnetic Poles,6,1.0,section,7.3,101,102,G6.pdf
The Behaviour of a Magnet,6,1.0,section,7.4,102,103,G6.pdf
Interactions between the Poles of Magnets,6,2.0,section,7.5,103,105,G6.pdf
Magnetic Forces,6,5.0,section,7.6,105,110,G6.pdf
Electricity for a Comfortable Life,6,23.0,chapter,8,110,133,G6.pdf
Electricity for Day-to-day Life,6,1.0,section,8.1,110,111,G6.pdf
Generating Electricity,6,6.0,section,8.2,111,117,G6.pdf
Preparation of Circuits,6,4.0,section,8.3,117,121,G6.pdf
Conductors and Insulators,6,1.0,section,8.4,121,122,G6.pdf
Electronic Appliances,6,6.0,section,8.5,122,128,G6.pdf
Conservation of Electricity and Prevention of Accidents,6,5.0,section,8.6,128,133,G6.pdf
Heat and Its Effects,6,15.0,chapter,9,133,148,G6.pdf
Heat Generation,6,2.0,section,9.1,135,137,G6.pdf
Effects of Heat,6,7.0,section,9.2,137,144,G6.pdf
The Effects of Heat to the Environment,6,4.0,section,9.3,144,148,G6.pdf
Food Related Interactions,6,11.0,chapter,10,148,159,G6.pdf
Weather and Climate,6,17.0,chapter,11,159,176,G6.pdf
Weather,6,2.0,section,11.1,159,161,G6.pdf
Climate,6,0.5,section,11.2,161,162,G6.pdf
Studying Data Related to Weather,6,0.5,section,11.3,161,162,G6.pdf
Designing Apparatus to Measure Weather,6,8.0,section,11.4,162,170,G6.pdf
Natural Disasters Occured Due to Climatic Changes,6,6.0,section,11.5,170,176,G6.pdf
Plant Diversity,7,21.0,chapter,1,1,22,G7P1.pdf
Morphological features of flowering plants,7,2.0,section,1.1,1,3,G7P1.pdf
Main parts of a flowering plant,7,1.0,section,1.2,3,4,G7P1.pdf
Diversity of the parts of flowering plants,7,13.0,section,1.3,4,17,G7P1.pdf
Monocotyledonous and dicotyledonous plants,7,5.0,section,1.4,17,22,G7P1.pdf
Static Electricity,7,12.0,chapter,2,22,34,G7P1.pdf
Charging an object,7,1.0,section,2.1,22,23,G7P1.pdf
Types of static electric charges,7,3.0,section,2.2,23,26,G7P1.pdf
Generation of static electric charges,7,2.0,section,2.3,26,28,G7P1.pdf
Phenomena associated with static electricity,7,2.0,section,2.4,28,30,G7P1.pdf
Capacitors,7,4.0,section,2.5,30,34,G7P1.pdf
Generation of Electricity,7,20.0,chapter,3,34,54,G7P1.pdf
Sources of electricity,7,14.0,section,3.1,35,49,G7P1.pdf
Direct current and alternating current,7,5.0,section,3.2,49,54,G7P1.pdf
Functions of Water,7,9.0,chapter,4,54,63,G7P1.pdf
Water as a solvent,7,4.0,section,4.1,54,58,G7P1.pdf
Water as a coolant,7,2.0,section,4.2,58,60,G7P1.pdf
