source_file,grade,chunk_index,page,page_start,page_end,span,words,chapter,section
G6.pdf,6,0,1,1,5,5,250,(document),
G6.pdf,6,1,4,4,5,2,250,(document),
G6.pdf,6,2,5,5,6,2,250,(document),
G6.pdf,6,3,6,6,7,2,250,(document),
G6.pdf,6,4,7,7,8,2,250,(document),
G6.pdf,6,5,8,8,9,2,250,(document),
G6.pdf,6,6,9,9,9,1,250,(document),
G6.pdf,6,7,9,9,12,4,250,(document),
G6.pdf,6,8,12,12,14,3,250,(document),
G6.pdf,6,9,14,14,14,1,250,(document),
G6.pdf,6,10,14,14,16,3,250,(document),
G6.pdf,6,11,16,16,18,3,250,(document),
G6.pdf,6,12,17,17,20,4,250,(document),
G6.pdf,6,13,19,19,20,2,56,(document),
G6.pdf,6,14,20,20,22,3,250,(document),Characteristics of Organisms
G6.pdf,6,15,22,22,24,3,250,(document),Characteristics of Organisms
G6.pdf,6,16,24,24,25,2,250,(document),Characteristics of Organisms
G6.pdf,6,17,25,25,27,3,250,(document),Characteristics of Organisms
G6.pdf,6,18,26,26,27,2,71,(document),Characteristics of Organisms
G6.pdf,6,19,27,27,29,3,250,(document),Differences between Plants and Animals
G6.pdf,6,20,29,29,30,2,250,(document),Differences between Plants and Animals
G6.pdf,6,21,30,30,32,3,250,(document),Differences between Plants and Animals
G6.pdf,6,22,32,32,33,2,250,(document),Differences between Plants and Animals
G6.pdf,6,23,33,33,35,3,250,(document),Differences between Plants and Animals
G6.pdf,6,24,35,35,36,2,250,(document),Differences between Plants and Animals
G6.pdf,6,25,36,36,37,2,185,(document),Differences between Plants and Animals
G6.pdf,6,26,37,37,38,2,107,(document),Matter and Energy
G6.pdf,6,27,38,38,39,2,250,(document),States of Matter
G6.pdf,6,28,39,39,41,3,250,(document),States of Matter
G6.pdf,6,29,41,41,42,2,250,(document),States of Matter
G6.pdf,6,30,42,42,42,1,118,(document),States of Matter
G6.pdf,6,31,43,43,44,2,250,(document),Specific Properties of Solid Matter
G6.pdf,6,32,44,44,45,2,250,(document),Specific Properties of Solid Matter
G6.pdf,6,33,45,45,47,3,250,(document),Specific Properties of Solid Matter
G6.pdf,6,34,46,46,49,4,250,(document),Specific Properties of Solid Matter
