keep rule                           rho(TOC, count)  rho(TOC, sec-alloc)   mean n
----------------------------------------------------------------------------------
current (relative margin)                   -0.1336              +0.0786     12.3
absolute cutoff 0.85                        +0.3084              +0.3149      1.8
absolute cutoff 0.90                        +0.3879              +0.3857      2.5
absolute cutoff 0.95                        +0.4188              +0.4178      3.2
absolute cutoff 1.00                        +0.3094              +0.3960      4.2
absolute cutoff 1.05                        +0.3636              +0.4039      5.1
absolute cutoff 1.10                        +0.3384              +0.3981      6.0
absolute cutoff 1.15                        +0.3643              +0.4126      7.2
absolute cutoff 1.20                        +0.3825              +0.4658      8.4
absolute cutoff 1.25                        +0.3270              +0.4274     10.1
absolute cutoff 1.30                        +0.2955              +0.3782     12.1
absolute cutoff 1.35                        +0.1967              +0.1966     14.3
