pdf_page,printed_page,tesseract_chars,vision_chars,seq_agreement,jaccard,vision_tokens_in_tesseract,dict_ratio,gate
14,2,1069,1118,0.7821,0.9519,0.9612,0.9536,PASS
25,13,1264,1219,0.8587,0.9630,0.9811,0.9379,PASS
28,16,953,929,0.9415,0.9551,0.9884,0.8876,PASS
29,17,723,695,0.9181,0.8767,0.9846,0.7376,PASS
45,33,1697,1670,0.9900,0.9865,1.0000,0.9228,PASS
54,42,1468,1552,0.9320,0.9732,0.9909,0.8872,PASS
65,53,1860,1816,0.9806,0.9692,1.0000,0.8829,PASS
66,54,1536,1608,0.9465,0.9104,0.9457,0.8783,PASS
68,56,1978,1970,0.9457,0.9741,1.0000,0.8628,PASS
71,59,951,1185,0.8235,0.6147,0.9571,0.7518,PASS
84,72,937,944,0.9342,0.8947,0.9714,0.8875,PASS
86,74,1019,1100,0.9548,0.9167,0.9277,0.9293,PASS
96,84,1174,1151,0.9046,0.9468,0.9889,0.9154,PASS
101,89,961,1021,0.9532,0.9457,0.9457,0.8927,PASS
102,90,890,1074,0.8822,0.9186,0.9405,0.9563,PASS
103,91,1261,1265,0.8722,0.9573,0.9825,0.8348,PASS
115,103,1824,1791,0.9863,0.9932,1.0000,0.9273,PASS
117,105,1167,1151,0.9891,0.9714,0.9808,0.9290,PASS
118,106,1641,1747,0.9611,0.9363,0.9363,0.9349,PASS
