grade,label,page
6,SCIENCE Grade 6 Educational Publications Department First Print 2014 S,1
6,u fu;a lreKd .=fKkS fj<S iu.s oñkS rka ñKs uq;= fkd j th u h iem;d lsi,4
6,"country, the government has taken steps to change curriculum to suit t",5
6,"along with a development of conduct and attitudes, to develop values a",6
7,SCIENCE Part - I Grade 7 Educational Publications Department First Pri,1
7,fu;a lreKd .=fKkS fj<S iu.s oñkS rka ñKs uq;= fkd j th u h iem;d lsis,4
7,necessary knowledge out of it. The government in turn is able to provi,5
7,to the objectives in the syllabus in order to maintain the teaching pr,6
8,SCIENCE Part - I Grade 8 Educational Publications Department First Pri,1
8,"fj<S iu.s oñkS rka ñKs uq;= fkd j th u h iem;d lsis l, fkdu Èrkd wdkka",4
8,of it. The government in turn is able to provide free textbooks to you,5
8,in the syllabus in order to maintain the teaching process by organizin,6
9,SCIENCE Part - I Grade 9 Educational Publications Department First Pri,1
9,"fkd j th u h iem;d lsis l, fkdu Èrkd wdkkao iurfldaka E p Ø §PKÕ w§ Úº",4
9,remind you that you should make the maximum use of these textbooks and,6
9,Department of Physical Science University of Colombo 4. M. P. Vipulase,7
