threshold,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,is_current
0.8,17,2,178,23,0.8864,0.8947,0.425,0.9889,0.5763,
0.85,20,2,178,20,0.9,0.9091,0.5,0.9889,0.6452,
0.9,21,3,177,19,0.9,0.875,0.525,0.9833,0.6563,
0.95,27,3,177,13,0.9273,0.9,0.675,0.9833,0.7714,
1.0,35,3,177,5,0.9636,0.9211,0.875,0.9833,0.8974,
1.05,36,8,172,4,0.9455,0.8182,0.9,0.9556,0.8571,
1.1,37,9,171,3,0.9455,0.8043,0.925,0.95,0.8605,
1.15,39,14,166,1,0.9318,0.7358,0.975,0.9222,0.8387,<-- current
1.2,40,18,162,0,0.9182,0.6897,1.0,0.9,0.8163,
1.25,40,24,156,0,0.8909,0.625,1.0,0.8667,0.7692,
1.3,40,34,146,0,0.8455,0.5405,1.0,0.8111,0.7018,
1.35,40,46,134,0,0.7909,0.4651,1.0,0.7444,0.6349,
1.4,40,59,121,0,0.7318,0.404,1.0,0.6722,0.5755,
1.45,40,80,100,0,0.6364,0.3333,1.0,0.5556,0.5,
1.5,40,103,77,0,0.5318,0.2797,1.0,0.4278,0.4372,
1.55,40,119,61,0,0.4591,0.2516,1.0,0.3389,0.402,
1.6,40,149,31,0,0.3227,0.2116,1.0,0.1722,0.3493,
