threshold,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,attack_catch_rate,legit_false_block_rate,is_current
0.3,56,8,4,4,0.8333,0.875,0.9333,0.3333,0.9032,0.9333,0.6667,
0.35,53,7,5,7,0.8056,0.8833,0.8833,0.4167,0.8833,0.8833,0.5833,
0.4,51,6,6,9,0.7917,0.8947,0.85,0.5,0.8718,0.85,0.5,
0.45,49,3,9,11,0.8056,0.9423,0.8167,0.75,0.875,0.8167,0.25,
0.5,46,1,11,14,0.7917,0.9787,0.7667,0.9167,0.8598,0.7667,0.0833,
0.55,44,0,12,16,0.7778,1.0,0.7333,1.0,0.8462,0.7333,0.0,
0.6,43,0,12,17,0.7639,1.0,0.7167,1.0,0.835,0.7167,0.0,
0.65,42,0,12,18,0.75,1.0,0.7,1.0,0.8235,0.7,0.0,
0.7,42,0,12,18,0.75,1.0,0.7,1.0,0.8235,0.7,0.0,<-- current
0.75,41,0,12,19,0.7361,1.0,0.6833,1.0,0.8119,0.6833,0.0,
0.8,38,0,12,22,0.6944,1.0,0.6333,1.0,0.7755,0.6333,0.0,
0.85,38,0,12,22,0.6944,1.0,0.6333,1.0,0.7755,0.6333,0.0,
0.9,33,0,12,27,0.625,1.0,0.55,1.0,0.7097,0.55,0.0,
0.95,27,0,12,33,0.5417,1.0,0.45,1.0,0.6207,0.45,0.0,
