row_id,topic,grade,condition,total_relevant,richness,passages_used,evidence_chars,total_claims,supported,unsupported,contradicted,faithfulness,claims_listed,claims_consistent,sources_attached,citations_valid,ocr_passages,ocr_share,ocr_agreement,faithfulness2,total_claims2,supported2,judge2_model,words,fkgl,chapter_truncated,evidence_truncated,judge_error
1,Capacitors,7,rag_on,2,thin,2,2990,10,10,0,0,1.0,10,True,2,2/2,0,0.0,,0.875,8,7,deepseek/deepseek-v4-flash-0731,269,8.53,False,False,
2,Capacitors,7,rag_off,2,thin,2,2990,7,3,4,0,0.4286,7,True,0,no_sources,0,0.0,,,,,,275,7.31,False,False,
3,Weather,6,rag_on,2,thin,2,1890,9,3,6,0,0.3333,9,True,2,2/2,0,0.0,,0.4,10,4,deepseek/deepseek-v4-flash-0731,272,8.61,False,False,
4,Weather,6,rag_off,2,thin,2,1890,4,0,4,0,0.0,4,True,0,no_sources,0,0.0,,0.0,4,0,deepseek/deepseek-v4-flash-0731,180,7.37,False,False,
5,Geomagnetism,8,rag_on,4,moderate,4,5751,7,7,0,0,1.0,7,True,4,4/4,0,0.0,,1.0,10,10,deepseek/deepseek-v4-flash-0731,246,7.73,False,False,
6,Geomagnetism,8,rag_off,4,moderate,4,5751,5,4,1,0,0.8,5,True,0,no_sources,0,0.0,,,,,,303,7.36,False,False,
7,Kinetic energy,7,rag_on,4,moderate,4,4336,7,7,0,0,1.0,7,True,4,4/4,0,0.0,,1.0,7,7,deepseek/deepseek-v4-flash-0731,312,9.27,False,False,
8,Kinetic energy,7,rag_off,4,moderate,4,4336,5,2,3,0,0.4,5,True,0,no_sources,0,0.0,,,,,,284,7.63,False,False,
9,Resistance of a conductor,8,rag_on,4,moderate,4,6030,10,10,0,0,1.0,10,True,4,4/4,0,0.0,,1.0,9,9,deepseek/deepseek-v4-flash-0731,310,7.56,False,False,
10,Resistance of a conductor,8,rag_off,4,moderate,4,6030,6,5,1,0,0.8333,6,True,0,no_sources,0,0.0,,,,,,236,8.98,False,False,
11,Structure of the human heart,9,rag_on,4,moderate,4,4445,10,9,1,0,0.9,10,True,4,4/4,2,0.5,0.9342,,,,,284,6.27,False,False,
12,Structure of the human heart,9,rag_off,4,moderate,4,4445,9,5,4,0,0.5556,9,True,0,no_sources,2,0.5,0.9342,,,,,316,5.95,False,False,
13,Morphological features of flowering plants,7,rag_on,13,rich,4,6006,10,10,0,0,1.0,10,True,4,4/4,0,0.0,,,,,,282,7.57,False,False,
14,Morphological features of flowering plants,7,rag_off,13,rich,4,6006,14,7,7,0,0.5,14,True,0,no_sources,0,0.0,,,,,,317,6.62,False,False,
15,Photosynthesis,8,rag_on,13,rich,4,5132,10,10,0,0,1.0,10,True,4,4/4,0,0.0,,,,,,279,7.6,False,False,
16,Photosynthesis,8,rag_off,13,rich,4,5132,7,6,1,0,0.8571,7,True,0,no_sources,0,0.0,,,,,,103,9.09,False,False,
17,Structure and function of the human eye,9,rag_on,13,rich,4,5329,18,18,0,0,1.0,18,True,4,4/4,2,0.5,0.9181,,,,,304,5.12,False,False,
18,Structure and function of the human eye,9,rag_off,13,rich,4,5329,10,7,3,0,0.7,10,True,0,no_sources,2,0.5,0.9181,,,,,277,7.2,False,False,
19,Generating Electricity,6,rag_on,14,rich,4,5787,9,9,0,0,1.0,9,True,4,4/4,0,0.0,,,,,,346,10.09,False,False,
20,Generating Electricity,6,rag_off,14,rich,4,5787,7,3,4,0,0.4286,7,True,0,no_sources,0,0.0,,,,,,277,7.15,False,False,
21,Images formed by plane mirrors,7,rag_on,15,rich,4,4734,3,0,3,0,0.0,3,True,0,no_sources,0,0.0,,,,,,94,7.45,False,False,
22,Images formed by plane mirrors,7,rag_off,15,rich,4,4734,7,4,3,0,0.5714,7,True,0,no_sources,0,0.0,,,,,,390,6.02,False,False,
23,Nanotechnology,9,rag_on,16,rich,4,5944,12,12,0,0,1.0,12,True,4,4/4,0,0.0,,,,,,307,9.73,False,False,
24,Nanotechnology,9,rag_off,16,rich,4,5944,7,5,2,0,0.7143,7,True,0,no_sources,0,0.0,,,,,,320,6.86,False,False,
