topic,grade,condition,total_claims,supported,unsupported,contradicted,faithfulness,sources_attached,citations_valid,ocr_passages,ocr_share,ocr_agreement,faithfulness2,total_claims2,supported2,judge2_model,words,fkgl,judge_error
Capacitors,7,rag_on,9,9,0,0,1.0,2,2/2,0,0.0,,,,,,231,9.71,
Capacitors,7,rag_off,5,2,3,0,0.4,0,no_sources,0,0.0,,,,,,268,6.83,
Weather,6,rag_on,10,7,3,0,0.7,2,2/2,0,0.0,,0.0,11,0,deepseek/deepseek-v4-flash-0731,267,8.82,
Weather,6,rag_off,5,0,5,0,0.0,0,no_sources,0,0.0,,0.0,6,0,deepseek/deepseek-v4-flash-0731,267,6.38,
Geomagnetism,8,rag_on,8,8,0,0,1.0,4,4/4,0,0.0,,1.0,9,9,deepseek/deepseek-v4-flash-0731,249,7.29,
Geomagnetism,8,rag_off,6,3,3,0,0.5,0,no_sources,0,0.0,,0.25,8,2,deepseek/deepseek-v4-flash-0731,305,7.99,
Kinetic energy,7,rag_on,7,7,0,0,1.0,4,4/4,0,0.0,,1.0,8,8,deepseek/deepseek-v4-flash-0731,244,7.16,
Kinetic energy,7,rag_off,4,2,2,0,0.5,0,no_sources,0,0.0,,0.6667,6,4,deepseek/deepseek-v4-flash-0731,301,6.67,
Resistance of a conductor,8,rag_on,8,8,0,0,1.0,4,4/4,0,0.0,,,,,,248,7.11,
Resistance of a conductor,8,rag_off,7,5,2,0,0.7143,0,no_sources,0,0.0,,,,,,339,6.53,
Structure of the human heart,9,rag_on,12,10,2,0,0.8333,4,4/4,2,0.5,0.9342,,,,,322,7.45,
Structure of the human heart,9,rag_off,9,3,6,0,0.3333,0,no_sources,2,0.5,0.9342,,,,,361,6.07,
Morphological features of flowering plants,7,rag_on,11,11,0,0,1.0,4,4/4,0,0.0,,,,,,285,8.83,
Morphological features of flowering plants,7,rag_off,8,5,3,0,0.625,0,no_sources,0,0.0,,,,,,291,7.17,
Photosynthesis,8,rag_on,10,9,0,1,0.9,4,4/4,0,0.0,,,,,,255,8.9,
Photosynthesis,8,rag_off,8,8,0,0,1.0,0,no_sources,0,0.0,,,,,,292,6.33,
Structure and function of the human eye,9,rag_on,17,17,0,0,1.0,4,4/4,2,0.5,0.9181,,,,,362,7.5,
Structure and function of the human eye,9,rag_off,10,7,3,0,0.7,0,no_sources,2,0.5,0.9181,,,,,322,5.16,
Generating Electricity,6,rag_on,6,6,0,0,1.0,4,4/4,0,0.0,,,,,,222,8.36,
Generating Electricity,6,rag_off,7,4,3,0,0.5714,0,no_sources,0,0.0,,,,,,248,7.03,
Images formed by plane mirrors,7,rag_on,8,8,0,0,1.0,4,4/4,0,0.0,,,,,,302,8.15,
Images formed by plane mirrors,7,rag_off,8,4,4,0,0.5,0,no_sources,0,0.0,,,,,,297,5.95,
Nanotechnology,9,rag_on,8,8,0,0,1.0,4,4/4,0,0.0,,,,,,297,10.27,
Nanotechnology,9,rag_off,9,7,2,0,0.7778,0,no_sources,0,0.0,,,,,,296,6.88,
