topic,grade,condition,total_relevant,run2_faithfulness,run3_faithfulness,delta,run2_claims,run3_claims
Capacitors,7,rag_on,2,1.0,1.0,0.0,9,10
Capacitors,7,rag_off,2,0.4,0.4286,0.0286,5,7
Weather,6,rag_on,2,0.7,0.3333,-0.3667,10,9
Weather,6,rag_off,2,0.0,0.0,0.0,5,4
Geomagnetism,8,rag_on,4,1.0,1.0,0.0,8,7
Geomagnetism,8,rag_off,4,0.5,0.8,0.3,6,5
Kinetic energy,7,rag_on,4,1.0,1.0,0.0,7,7
Kinetic energy,7,rag_off,4,0.5,0.4,-0.1,4,5
Resistance of a conductor,8,rag_on,4,1.0,1.0,0.0,8,10
Resistance of a conductor,8,rag_off,4,0.7143,0.8333,0.119,7,6
Structure of the human heart,9,rag_on,4,0.8333,0.9,0.0667,12,10
Structure of the human heart,9,rag_off,4,0.3333,0.5556,0.2223,9,9
Morphological features of flowering plants,7,rag_on,13,1.0,1.0,0.0,11,10
Morphological features of flowering plants,7,rag_off,13,0.625,0.5,-0.125,8,14
Photosynthesis,8,rag_on,13,0.9,1.0,0.1,10,10
Photosynthesis,8,rag_off,13,1.0,0.8571,-0.1429,8,7
Structure and function of the human eye,9,rag_on,13,1.0,1.0,0.0,17,18
Structure and function of the human eye,9,rag_off,13,0.7,0.7,0.0,10,10
Generating Electricity,6,rag_on,14,1.0,1.0,0.0,6,9
Generating Electricity,6,rag_off,14,0.5714,0.4286,-0.1428,7,7
Images formed by plane mirrors,7,rag_on,15,1.0,0.0,-1.0,8,3
Images formed by plane mirrors,7,rag_off,15,0.5,0.5714,0.0714,8,7
Nanotechnology,9,rag_on,16,1.0,1.0,0.0,8,12
Nanotechnology,9,rag_off,16,0.7778,0.7143,-0.0635,9,7
