topic,grade,difficulty,rep,fkgl,fre,words,sentences,words_per_sentence,type_token_ratio,questions,latency_s
Nanotechnology,9,1,1,4.97,72.59,259,35,7.4,0.5792,2,11.87
Nanotechnology,9,1,2,6.07,68.49,238,25,9.52,0.6134,2,6.15
Nanotechnology,9,1,3,6.83,66.85,268,23,11.65,0.556,2,7.04
Nanotechnology,9,1,4,6.03,69.17,282,29,9.72,0.5567,2,6.36
Nanotechnology,9,2,1,6.34,64.63,219,26,8.42,0.5662,2,5.43
Nanotechnology,9,2,2,6.91,62.15,224,24,9.33,0.625,2,5.09
Nanotechnology,9,2,3,8.29,61.25,259,18,14.39,0.6216,2,5.14
Nanotechnology,9,2,4,10.0,55.06,267,15,17.8,0.6255,2,5.99
Nanotechnology,9,3,1,7.45,62.61,94,8,11.75,0.8191,2,12.69
Nanotechnology,9,3,2,9.82,50.35,303,21,14.43,0.5974,2,7.02
Nanotechnology,9,3,3,11.5,43.33,328,19,17.26,0.6311,2,6.06
Nanotechnology,9,3,4,10.33,47.43,252,17,14.82,0.6389,2,6.55
Nanotechnology,9,4,1,11.0,46.76,395,23,17.17,0.6101,2,7.68
Nanotechnology,9,4,2,11.81,40.52,321,19,16.89,0.6262,2,5.99
Nanotechnology,9,4,3,12.68,37.39,317,17,18.65,0.612,2,5.76
Nanotechnology,9,4,4,9.57,50.43,310,23,13.48,0.6323,2,9.64
Nanotechnology,9,5,1,16.06,27.86,323,12,26.92,0.6285,2,8.09
Nanotechnology,9,5,2,10.55,46.77,322,21,15.33,0.6242,2,7.33
Nanotechnology,9,5,3,13.82,37.16,416,18,23.11,0.6202,2,9.2
Nanotechnology,9,5,4,10.25,49.09,402,26,15.46,0.607,2,8.69
Images formed by plane mirrors,7,1,1,6.28,71.95,197,16,12.31,0.5635,2,5.69
Images formed by plane mirrors,7,1,2,5.6,75.3,206,18,11.44,0.5534,2,5.21
Images formed by plane mirrors,7,1,3,4.95,76.4,217,23,9.43,0.553,2,6.28
Images formed by plane mirrors,7,1,4,5.09,79.46,211,18,11.72,0.5592,2,5.2
Images formed by plane mirrors,7,2,1,7.6,68.83,270,17,15.88,0.5037,2,4.97
Images formed by plane mirrors,7,2,2,6.72,70.5,252,19,13.26,0.5278,2,4.99
Images formed by plane mirrors,7,2,3,7.13,68.72,292,21,13.9,0.5616,2,6.02
Images formed by plane mirrors,7,2,4,5.82,74.04,244,21,11.62,0.5369,2,5.64
Images formed by plane mirrors,7,3,1,9.08,59.6,283,17,16.65,0.5018,2,9.77
Images formed by plane mirrors,7,3,2,6.69,69.92,269,21,12.81,0.5093,2,5.35
Images formed by plane mirrors,7,3,3,7.56,67.26,267,18,14.83,0.5993,2,5.82
Images formed by plane mirrors,7,3,4,6.62,68.4,280,24,11.67,0.5,2,5.38
Images formed by plane mirrors,7,4,1,8.37,64.47,297,18,16.5,0.5926,2,6.61
Images formed by plane mirrors,7,4,2,6.85,66.37,287,25,11.48,0.5296,2,5.89
Images formed by plane mirrors,7,4,3,7.45,62.61,94,8,11.75,0.8191,2,12.03
Images formed by plane mirrors,7,4,4,8.77,65.59,281,15,18.73,0.5374,2,5.32
Images formed by plane mirrors,7,5,1,7.14,68.1,367,27,13.59,0.4823,1,9.09
Images formed by plane mirrors,7,5,2,13.4,48.3,360,13,27.69,0.4833,2,7.66
Images formed by plane mirrors,7,5,3,8.83,61.05,329,20,16.45,0.5593,2,6.38
Images formed by plane mirrors,7,5,4,10.17,60.22,342,16,21.38,0.4971,2,13.51
